Start: 1710135616877, Latency: 185, Request Type: POST, Response Code: 201
Start: 1710135616943, Latency: 120, Request Type: POST, Response Code: 201
Start: 1710135616948, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135616948, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135616949, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135616956, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135616957, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135616959, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135616960, Latency: 108, Request Type: POST, Response Code: 201
Start: 1710135616962, Latency: 191, Request Type: POST, Response Code: 201
Start: 1710135616964, Latency: 189, Request Type: POST, Response Code: 201
Start: 1710135616964, Latency: 189, Request Type: POST, Response Code: 201
Start: 1710135616966, Latency: 191, Request Type: POST, Response Code: 201
Start: 1710135616966, Latency: 192, Request Type: POST, Response Code: 201
Start: 1710135616968, Latency: 190, Request Type: POST, Response Code: 201
Start: 1710135617041, Latency: 117, Request Type: POST, Response Code: 201
Start: 1710135617043, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135617044, Latency: 116, Request Type: POST, Response Code: 201
Start: 1710135617045, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135617049, Latency: 112, Request Type: POST, Response Code: 201
Start: 1710135617052, Latency: 110, Request Type: POST, Response Code: 201
Start: 1710135617053, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135617053, Latency: 109, Request Type: POST, Response Code: 201
Start: 1710135617053, Latency: 113, Request Type: POST, Response Code: 201
Start: 1710135617053, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135617056, Latency: 113, Request Type: POST, Response Code: 201
Start: 1710135617056, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135617058, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135617059, Latency: 115, Request Type: POST, Response Code: 201
Start: 1710135617061, Latency: 114, Request Type: POST, Response Code: 201
Start: 1710135617062, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135617062, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135617062, Latency: 182, Request Type: POST, Response Code: 201
Start: 1710135617063, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135617063, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135617063, Latency: 181, Request Type: POST, Response Code: 201
Start: 1710135617064, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135617065, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135617067, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135617068, Latency: 179, Request Type: POST, Response Code: 201
Start: 1710135617068, Latency: 180, Request Type: POST, Response Code: 201
Start: 1710135617153, Latency: 102, Request Type: POST, Response Code: 201
Start: 1710135617153, Latency: 102, Request Type: POST, Response Code: 201
Start: 1710135617153, Latency: 102, Request Type: POST, Response Code: 201
Start: 1710135617158, Latency: 98, Request Type: POST, Response Code: 201
Start: 1710135617158, Latency: 98, Request Type: POST, Response Code: 201
Start: 1710135617158, Latency: 99, Request Type: POST, Response Code: 201
Start: 1710135617158, Latency: 99, Request Type: POST, Response Code: 201
